éë' åóÖá,,,,éë' áôÅÖêâö,,öÄòâä öôåÖç,ëãÖç áôÅÖêâö,,,,,
5156900,,,,9813,,04/08/2017,117.00,,,,,
5156900,,,,9642,,30/08/2017,130.00,,,,,
5156900,,,,55974,,04/08/2017,131.00,,,,,
5156900,,,,11212,,04/08/2017,59.00,,,,,
5156900,,,,10645,,30/08/2017,39.00,,,,,
5156900,,,,10526,,30/08/2017,31.00,,,,,
5156900,,,,10706,,21/08/2017,9,000.00,,,,,
5156900,,,,10707,,28/08/2017,5,900.00,,,,,
5156900,,,,10432,,04/08/2017,20,238.00,,,,,
5156900,,,,10873,,21/08/2017,3,500.00,,,,,
5156900,,,,10369,,18/08/2017,5,693.00,,,,,
5156900,,,,11549,,13/08/2017,3,891.00,,,,,
5156900,,,,56337,,14/08/2017,7,000.00,,,,,
5156900,,,,10864,,20/08/2017,5,558.00,,,,,
5156900,,,,10901,,29/08/2017,8,000.00,,,,,
5156900,,,,10775,,28/07/2017,2,169.00,,,,,
5156900,,,,103582,,30/08/2017,11,100.00,,,,,
5156900,,,,10516,,23/08/2017,2,456.00,,,,,
5156900,,,,10779,,30/07/2017,2,000.00,,,,,
5156900,,,,10843,,15/08/2017,2,000.00,,,,,
5156900,,,,10844,,15/08/2017,2,000.00,,,,,
5156900,,,,10845,,15/08/2017,168.00,,,,,
5156900,,,,10898,,28/08/2017,1,033.00,,,,,
5156900,,,,10832,,11/08/2017,5,000.00,,,,,
5156900,,,,10903,,30/08/2017,20,000.00,,,,,
5156900,,,,10250,,13/08/2017,6,185.00,,,,,
5156900,,,,10217,,06/08/2017,10,000.00,,,,,
5156900,,,,10672,,28/08/2017,23,311.00,,,,,
5156900,,,,10780,,01/08/2017,2,500.00,,,,,
5156900,,,,10781,,01/08/2017,2,500.00,,,,,
5156900,,,,10887,,25/08/2017,3,000.00,,,,,
5156900,,,,10587,,08/06/2017,21,000.00,,,,,
5156900,,,,10742,,18/07/2017,22,655.00,,,,,
5156900,,,,10826,,10/08/2017,2,044.00,,,,,
5156900,,,,10865,,21/08/2017,3,000.00,,,,,
5156900,,,,10892,,27/08/2017,15,000.00,,,,,
5156900,,,,10545,,04/08/2017,129.00,,,,,
5156900,,,,10954,,04/08/2017,35.00,,,,,
5156900,,,,10948,,04/08/2017,1,347.00,,,,,
5156900,,,,10949,,04/08/2017,176.00,,,,,
5156900,,,,10963,,30/08/2017,3,181.00,,,,,
5156900,,,,10965,,30/08/2017,1,348.00,,,,,
5156900,,,,10831,,04/08/2017,5,000.00,,,,,
5156900,,,,11219,,30/08/2017,1,209.00,,,,,
5156900,,,,10900,,04/08/2017,386.00,,,,,
5156900,,,,10907,,04/08/2017,205.00,,,,,
5156900,,,,10894,,04/08/2017,1,818.00,,,,,
5156900,,,,10692,,30/08/2017,593.00,,,,,
5156900,,,,10695,,04/08/2017,256.00,,,,,
5156900,,,,10860,,30/08/2017,2,747.00,,,,,
5156900,,,,10713,,30/08/2017,907.00,,,,,
5156900,,,,10715,,04/08/2017,854.00,,,,,
5156900,,,,56014,,30/08/2017,603.00,,,,,
5156900,,,,56022,,30/08/2017,130.00,,,,,
5156900,,,,10807,,04/08/2017,1,955.00,,,,,
5156900,,,,10739,,30/08/2017,1,211.00,,,,,
5156900,,,,10865,,30/08/2017,110.00,,,,,
5156900,,,,10874,,04/08/2017,313.00,,,,,
5156900,,,,10925,,30/08/2017,86.00,,,,,
5156900,,,,10756,,04/08/2017,1,600.00,,,,,
5156900,,,,11000,,04/08/2017,700.00,,,,,
5156900,,,,11003,,04/08/2017,63.00,,,,,
5156900,,,,11016,,30/08/2017,57.00,,,,,
5156900,,,,11021,,04/08/2017,218.00,,,,,
5156900,,,,11027,,30/08/2017,688.00,,,,,
5156900,,,,11041,,04/08/2017,1,628.00,,,,,
5156900,,,,11052,,30/08/2017,236.00,,,,,
5156900,,,,56084,,04/08/2017,1,550.00,,,,,
5156900,,,,56089,,04/08/2017,642.00,,,,,
5156900,,,,56094,,04/08/2017,5,358.00,,,,,
5156900,,,,56096,,04/08/2017,2,601.00,,,,,
5156900,,,,56099,,04/08/2017,59.00,,,,,
5156900,,,,56108,,04/08/2017,863.00,,,,,
5156900,,,,56114,,30/08/2017,1,169.00,,,,,
5156900,,,,56115,,30/08/2017,544.00,,,,,
5156900,,,,56124,,30/08/2017,2,956.00,,,,,
5156900,,,,11087,,04/08/2017,1,486.00,,,,,
5156900,,,,11093,,30/08/2017,2,367.00,,,,,
5156900,,,,11106,,30/08/2017,8,344.00,,,,,
5156900,,,,11115,,30/08/2017,135.00,,,,,
5156900,,,,11120,,30/08/2017,1,700.00,,,,,
5156900,,,,11125,,30/08/2017,2,766.00,,,,,
5156900,,,,11131,,30/08/2017,475.00,,,,,
5156900,,,,11167,,30/08/2017,151.00,,,,,
5156900,,,,11174,,30/08/2017,237.00,,,,,
5156900,,,,11186,,30/08/2017,8,077.00,,,,,
5156900,,,,11207,,30/08/2017,3,238.00,,,,,
5156900,,,,56138,,30/08/2017,77.00,,,,,
5156900,,,,56147,,30/08/2017,2,238.00,,,,,
5156900,,,,56153,,30/08/2017,948.00,,,,,
5156900,,,,56157,,30/08/2017,4,537.00,,,,,
5156900,,,,56167,,30/08/2017,1,471.00,,,,,
5156900,,,,56168,,30/08/2017,2,563.00,,,,,
5156900,,,,56176,,04/08/2017,436.00,,,,,
5156900,,,,56184,,30/08/2017,433.00,,,,,
5156900,,,,56187,,30/08/2017,4,861.00,,,,,
5156900,,,,56188,,30/08/2017,326.00,,,,,
5156900,,,,11367,,30/08/2017,913.00,,,,,
5156900,,,,11375,,30/08/2017,185.00,,,,,
5156900,,,,56051,,04/08/2017,331.00,,,,,
5156900,,,,10881,,30/08/2017,238.00,,,,,
5156900,,,,56030,,30/08/2017,3,224.00,,,,,
5156900,,,,11072,,30/08/2017,365.00,,,,,
5156900,,,,56104,,30/08/2017,5,001.00,,,,,
5156900,,,,11141,,30/08/2017,1,172.00,,,,,