Client id,Invoice number,Payment due,Payment due date,Payment date1,Payment paid1,Latency1
 5156900,56143,59,30.7.2017
 5156900,11609,3042,15.10.2017
 5156900,10990,133,14.6.2017
 5156900,10980,8234,14.6.2017
 5156900,56065,686,15.5.2017
 5156900,10909,842,14.6.2017
 5156900,10821,2832,15.5.2017
 5156900,10822,994,15.5.2017
 5156900,10769,5866,15.5.2017
 5156900,11095,-18805,15.12.2017
 5156900,11818,5127,15.12.2017
 5156900,103535,-702,29.9.2017
 5156900,56319,12780,29.9.2017
5156900,56244,16837,29.8.2017,31.12.2017,16837,124
5156900,56178,4447,30.7.2017,31.12.2017,4447,154
 5156900,103436,-474,30.7.2017
5156900,11157,790,30.7.2017,31.12.2017,790,154
5156900,11161,2366,30.7.2017,31.12.2017,2366,154
5156900,11162,95,30.7.2017,31.12.2017,95,154
5156900,11058,1586,30.7.2017,31.12.2017,1586,154
5156900,10981,4499,29.6.2017,31.10.2017,4499,124,31.12.2017,107,185
 5156900,56408,19719,30.10.2017
 5156900,103675,-338,30.12.2017
 5156900,56579,3078,30.12.2017
 5156900,11887,324,29.1.2018
 5156900,56488,9780,29.11.2017
 5156900,11893,1023,29.1.2018
 5156900,11894,199,29.1.2018
 5156900,11895,1053,29.1.2018
 5156900,11906,79,29.1.2018
 5156900,11923,1434,29.1.2018
 5156900,11924,5170,29.1.2018
 5156900,11946,1897,29.1.2018
 5156900,11947,157,29.1.2018
 5156900,11948,119,29.1.2018
 5156900,11959,79,29.1.2018
 5156900,56289,11919,29.9.2017
 5156900,11358,519,29.8.2017
 5156900,56222,10696,29.8.2017
 5156900,103209,-211,1.3.2017
 5156900,56379,16913,30.10.2017
 5156900,56547,4300,30.12.2017
 5156900,56460,27309,29.11.2017
 5156900,56194,3199,29.8.2017
5156900,9769,2106,30.12.2016,28.9.2017,2106,272
 5156900,56350,416,30.10.2017
 5156900,56428,5570,29.11.2017
 5156900,56514,981,30.12.2017
 5156900,103730,-23,29.1.2018
 5156900,56342,410,15.10.2017
 5156900,56509,574,15.12.2017
 5156900,56425,1904,14.11.2017
 5156900,56389,1171,30.10.2017
 5156900,56266,28,29.9.2017
 5156900,56518,7,30.12.2017
 5156900,56432,26,29.11.2017
 5156900,11010,-1700,29.11.2017
 5156900,103618,-800,29.11.2017
 5156900,56552,17847,30.12.2017
5156900,56467,37374,29.11.2017,31.12.2017,37374,32
5156900,56396,404,30.10.2017,4.12.2017,404,35
 5156900,56449,3720,29.11.2017
 5156900,11806,4000,30.12.2017
 5156900,11861,8110,29.1.2018
 5156900,56539,6927,30.12.2017
 5156900,55928,60,1.4.2017
 5156900,11912,497,29.1.2018
 5156900,11956,501,30.12.2017
 5156900,56575,4155,30.12.2017
5156900,56482,4467,29.11.2017,31.12.2017,3143,32
 5156900,11842,4182,30.12.2017
 5156900,11721,1600,29.11.2017
 5156900,11748,66,30.12.2017
 5156900,11877,429,14.1.2018
 5156900,11856,220,14.1.2018
5156900,11738,4644,14.11.2017,31.12.2017,3051,47
 5156900,11922,2749,14.1.2018
 5156900,56555,105,30.12.2017
 5156900,56368,11049,30.10.2017
 5156900,56535,98093,30.12.2017
5156900,56448,4477,29.11.2017,31.12.2017,4477,32
 5156900,56262,130,29.9.2017
 5156900,56237,546,29.8.2017
 5156900,56545,1440,30.12.2017
 5156900,11824,983,30.12.2017
 5156900,11825,690,30.12.2017
 5156900,56528,5551,30.12.2017
5156900,56404,539,30.10.2017,4.12.2017,539,35
5156900,11623,534,30.10.2017,4.12.2017,534,35
 5156900,56572,5382,30.12.2017
 5156900,11781,187,30.12.2017
 5156900,56441,1348,29.11.2017
5156900,11658,1720,14.11.2017,31.12.2017,1720,47
5156900,56373,673,30.10.2017,31.12.2017,673,62
 5156900,56541,671,30.12.2017
5156900,56457,2497,29.11.2017,31.12.2017,2497,32
5023361,11726,2113,14.11.2017,31.12.2017,720,47,8.7.2017,195,0
5156900,56487,2166,14.11.2017,31.12.2017,2166,47
 5156900,11925,7522,14.1.2018
 5156900,11931,137,14.1.2018
 5156900,56565,612,15.12.2017
 5156900,56475,1873,14.11.2017
 5156900,56503,25235,29.11.2017
 5156900,56341,5247,30.10.2017
 5156900,56357,50,30.10.2017
 5156900,56506,621,30.12.2017
 5156900,56507,383,30.12.2017
 5156900,56508,21144,30.12.2017
5156900,56269,10160,29.9.2017,31.12.2017,10160,93
5156900,11429,234,29.9.2017,31.12.2017,234,93
5156900,11432,267,29.9.2017,31.12.2017,267,93
5156900,56356,2017,30.10.2017,31.12.2017,1525,62
 5156900,930,3000,30.12.2017
 5156900,191,1600,30.12.2017
 5156900,11776,4500,30.12.2017
 5156900,11876,2573,29.1.2018
 5156900,11204,-2600,29.1.2018
 5156900,56435,11121,29.11.2017
 5156900,55802,12788,29.1.2017
 5156900,11866,500,14.1.2018
 5156900,11873,379,14.1.2018
 5156900,11735,235,14.11.2017
 5156900,10638,-1500,29.8.2017
 5156900,5001218,2468,29.8.2017
5156900,5001213,3666,30.7.2017,28.9.2017,-3666,60,20.7.2017,3666,0
5156900,10992,2808,29.6.2017,28.9.2017,-2808,91,20.7.2017,2808,21
5156900,56063,164,30.5.2017,28.9.2017,-164,121,20.7.2017,164,51
5156900,10774,1310,30.5.2017,28.9.2017,-1310,121,20.7.2017,1310,51
 5156900,11033,-800,29.11.2017
5156900,11715,328,30.10.2017,31.12.2017,328,62
5156900,56473,1697,30.10.2017,31.12.2017,1697,62
 5156900,56561,5017,30.12.2017
 5156900,56268,10585,29.9.2017
5156900,11391,335,29.9.2017,31.12.2017,335,93
 5156900,11872,41,30.12.2017
 5156900,11732,1170,29.11.2017
 5156900,56521,270,30.12.2017
 5156900,56556,418,15.12.2017
5156900,56424,20588,14.11.2017,31.12.2017,920,47
 5156900,11921,1227,14.1.2018
 5156900,103741,-80,14.1.2018
5156900,56315,98,30.8.2017,31.12.2017,98,123
 5156900,11938,300,14.1.2018
 5156900,11953,716,14.1.2018
 5156900,11814,142,30.12.2017
 5156900,11815,1545,30.12.2017
 5156900,11816,1162,30.12.2017
 5156900,56200,876,14.8.2017
 5156900,56329,3466,29.9.2017
 5156900,56252,5602,29.8.2017
 5156900,56418,1434,30.10.2017
 5156900,56496,10280,29.11.2017
 5156900,11467,848,29.9.2017
 5156900,11604,4133,30.10.2017
 5156900,11417,2854,29.9.2017
 5156900,11508,10851,30.10.2017
 5156900,11662,3949,29.11.2017
 5156900,11647,120,29.11.2017
 5156900,6847,21000,30.10.2017
 5156900,56466,4301,29.11.2017
 5156900,11441,8160,29.9.2017
 5156900,11950,1600,29.1.2018
 5156900,56582,295,30.12.2017
 5156900,56494,48240,29.11.2017
 5156900,56591,3270,30.11.2017
5156900,56336,61,30.8.2017,31.12.2017,61,123
5156900,56254,294,30.7.2017,31.12.2017,294,154
5156900,11271,698,30.7.2017,31.12.2017,698,154
5156900,11272,500,30.7.2017,31.12.2017,500,154
5156900,11274,59,30.7.2017,31.12.2017,59,154
 5156900,11792,876,30.12.2017
 5156900,11864,5984,29.1.2018
 5156900,56563,1169,30.12.2017
 5156900,11827,4742,30.12.2017
 5156900,11836,7987,30.12.2017
 5156900,56472,1949,29.11.2017
 5156900,11907,998,29.1.2018
 5156900,11911,819,29.1.2018
 5156900,11675,7740,29.11.2017
 5156900,56530,1519,30.12.2017
 5156900,56443,217,29.11.2017
 5156900,103713,-772,29.1.2018
5156900,56134,4016,30.7.2017,31.12.2017,4016,154
5156900,11079,1986,30.7.2017,31.12.2017,1986,154
5156900,56345,354,30.10.2017,31.12.2017,354,62
 5156900,56360,161,30.10.2017
 5156900,56438,333,29.11.2017
 5156900,56261,596,29.9.2017
 5156900,56512,1498,30.12.2017
 5156900,56293,14254,14.9.2017
 5156900,103512,-54,14.9.2017
 5156900,103513,-82,14.9.2017
 5156900,56224,6474,14.8.2017
5156900,722,668,14.9.2016,31.12.2017,668,473,28.9.2017,668,379
 5156900,10983,103,14.6.2017
 5156900,10975,3061,14.6.2017
 5156900,56036,14,15.5.2017
 5156900,10861,1537,15.5.2017
5156900,9767,407,15.12.2016,31.12.2017,82,381,28.9.2017,234,287
 5156900,56383,304,15.10.2017
 5156900,11719,519,14.11.2017
 5156900,103624,-14,14.11.2017
5156900,11025,-400,14.11.2017,20.7.2017,6901,0
 5156900,56549,2998,15.12.2017
 5156900,56463,943,14.11.2017
 5156900,11453,1200,14.9.2017
5156900,11524,11400,30.10.2017,31.12.2017,11400,62
5156900,11547,3324,30.10.2017,31.12.2017,3324,62
 5156900,103550,-1303,30.10.2017
5156900,11633,2974,30.10.2017,31.12.2017,2974,62
 5156900,11729,2357,29.11.2017
 5156900,56551,278,30.12.2017
 5156900,56464,3698,29.11.2017
5156900,55489,628,30.6.2016,28.9.2017,628,455
 5156900,2290296,11326,30.12.2017
 5156900,56376,920,30.10.2017
 5156900,56543,2888,30.12.2017
 5156900,11892,57,29.1.2018
 5156900,11904,153,29.1.2018
 5156900,15333577,4361,14.1.2018
 5156900,11276,-300,14.1.2018
5156900,56241,149,29.8.2017,31.12.2017,149,124
5156900,56172,5283,30.7.2017,31.12.2017,4954,154
5156900,56118,737,29.6.2017,31.12.2017,597,185
 5156900,11446,410,29.9.2017
 5156900,11955,899,29.1.2018
 5156900,56529,838,30.12.2017
 5156900,56584,1846,30.12.2017
5156900,56374,1769,30.10.2017,31.12.2017,1769,62
 5156900,56562,155,30.12.2017
 5156900,56471,757,29.11.2017
 5156900,56590,5162,30.12.2017
 5156900,56497,50858,29.11.2017
 5156900,103593,-697,29.12.2017
5156900,56322,2032,29.10.2017,31.12.2017,2032,63
5156900,11593,7107,29.11.2017,31.12.2017,7107,32
 5156900,56566,1084,29.1.2018
 5156900,56478,485,29.12.2017
 5156900,11958,10022,28.2.2018
 5156900,56567,1053,29.1.2018
 5156900,11860,2129,28.2.2018
 5156900,56570,1322,29.1.2018
 5156900,56480,698,29.12.2017
5156900,11622,13689,30.10.2017,31.12.2017,875,62
 5156900,11879,1414,29.1.2018
 5156900,10806,-445,30.10.2017
5156900,10915,497,29.6.2017,31.12.2017,497,185
5156900,10788,200,30.5.2017,31.12.2017,200,215
 5156900,103322,-250,30.5.2017
5156900,10295,500,1.4.2017,31.12.2017,500,274
 5156900,11848,3000,15.12.2017
 5156900,56569,400,15.12.2017
 5156900,56483,200,29.11.2017
 5156900,56583,666,15.12.2017
 5156900,11888,211,14.1.2018
 5156900,11889,383,14.1.2018
 5156900,56285,8003,29.9.2017
 5156900,56375,22686,30.10.2017
 5156900,56542,6660,30.12.2017
 5156900,56458,6644,29.11.2017
 5156900,10780,-2500,29.9.2017
 5156900,10781,-2500,29.9.2017
 5156900,10672,-23311,29.8.2017
 5156900,3031521,23311,29.8.2017
 5156900,10887,-3000,30.10.2017
 5156900,10351,-450,29.6.2017
 5156900,10917,450,29.6.2017
 5156900,10429,2480,1.4.2017
 5156900,10686,4420,30.5.2017
 5156900,10217,-10000,30.5.2017
 5156900,10540,4091,29.4.2017
 5156900,10541,5789,29.4.2017
 5156900,10978,-3500,29.11.2017
 5156900,10488,4774,1.4.2017
 5156900,10503,2155,1.4.2017
 5156900,56165,281,29.8.2017
 5156900,56531,1129,30.12.2017
5156900,56399,211,30.10.2017,4.12.2017,211,35
 5156900,56564,1554,30.12.2017
 5156900,56474,3215,29.11.2017
 5156900,56558,633,30.12.2017
 5156900,11457,13550,29.9.2017
 5156900,56287,1322,29.9.2017
 5156900,56220,1035,29.8.2017
5156900,11241,21872,29.8.2017,31.12.2017,31,124
 5156900,11580,2006,30.10.2017
 5156900,56377,1052,30.10.2017
 5156900,103573,-410,30.10.2017
 5156900,56544,6534,30.12.2017
 5156900,56459,14122,29.11.2017
 5156900,56365,1240,29.11.2017
 5156900,56534,2026,29.1.2018
 5156900,11884,1720,28.2.2018
 5156900,56445,3053,29.12.2017
 5156900,56229,32942,29.8.2017
 5156900,56166,15093,30.7.2017
 5156900,56392,2188,30.10.2017
 5156900,56559,36088,30.12.2017
 5156900,11859,425,29.1.2018
 5156900,56580,171,30.12.2017
5156900,56490,6286,29.11.2017,31.12.2017,6286,32
5156900,56452,933,29.11.2017,31.12.2017,933,32
 5156900,56489,40,29.12.2017
 5156900,11689,9096,29.11.2017
 5156900,11797,588,30.12.2017
 5156900,11804,847,30.12.2017
 5156900,11932,1551,29.1.2018
 5156900,11933,280,29.1.2018
 5156900,11934,215,29.1.2018
 5156900,56571,2482,30.12.2017
 5156900,56264,5806,29.10.2017
 5156900,11554,1600,30.10.2017
 5156900,56394,2854,30.10.2017
 5156900,11671,66,29.11.2017
 5156900,11598,190,30.10.2017
 5156900,11853,410,29.1.2018
5156900,56470,155,29.11.2017,31.12.2017,155,32
5156900,11746,133,15.12.2017,31.12.2017,133,16
5156900,922,900,15.12.2017,31.12.2017,900,16
5156900,11734,8835,14.11.2017,31.12.2017,970,47
 5156900,11577,10446,30.10.2017
 5156900,56349,57,30.10.2017
 5156900,56403,2687,30.10.2017
 5156900,56568,6460,30.12.2017
 5156900,56479,7183,29.11.2017
 5156900,56548,4159,30.12.2017
5156900,56461,9786,29.11.2017,31.12.2017,6376,32
 5156900,11918,12597,29.1.2018
 5156900,11952,9862,29.1.2018
 5156900,56588,1197,30.11.2017
 5156900,11826,3479,30.11.2017
 5156900,56281,725,29.9.2017
 5156900,56370,1717,30.10.2017
 5156900,56520,8344,30.12.2017
 5156900,11628,21610,30.10.2017
5156900,11022,-4000,29.11.2017,20.7.2017,483,0
 5156900,10128,5900,29.11.2017
5156900,11478,450,14.9.2017,31.10.2017,450,47
 5156900,11519,125,15.10.2017
 5156900,56292,74,14.9.2017
 5156900,56382,110,15.10.2017
 5156900,10333,5562,1.4.2017
 5156900,103234,-249,1.4.2017
 5156900,10451,7551,1.4.2017
 5156900,10461,1707,1.4.2017
 5156900,10507,493,1.4.2017
 5156900,103255,-632,29.4.2017
 5156900,103256,-140,29.4.2017
 5156900,10533,1198,29.4.2017
 5156900,10558,632,29.4.2017
 5156900,10572,580,29.4.2017
 5156900,10587,1639,29.4.2017
 5156900,10588,110,29.4.2017
 5156900,10594,1796,29.4.2017
 5156900,10616,78,29.4.2017
 5156900,10618,408,29.4.2017
 5156900,10621,2336,29.4.2017
 5156900,10622,197,29.4.2017
 5156900,10623,204,29.4.2017
 5156900,10650,731,29.4.2017
 5156900,10651,1236,29.4.2017
 5156900,10652,1597,29.4.2017
5156900,10675,140,30.5.2017,31.10.2017,140,154
 5156900,103295,-79,30.5.2017
5156900,10693,460,30.5.2017,31.10.2017,460,154
5156900,10694,1729,30.5.2017,31.10.2017,1729,154
 5156900,10700,286,30.5.2017
 5156900,103300,-22,30.5.2017
 5156900,103303,-1236,30.5.2017
5156900,10719,409,30.5.2017,31.10.2017,409,154
5156900,10745,1741,30.5.2017,31.10.2017,1741,154
5156900,10783,599,30.5.2017,31.10.2017,599,154
5156900,10838,595,30.5.2017,31.10.2017,595,154
5156900,10839,1531,30.5.2017,31.10.2017,1531,154
5156900,10840,1492,30.5.2017,31.10.2017,1492,154
5156900,10841,491,30.5.2017,31.10.2017,491,154
5156900,10880,1154,29.6.2017,31.10.2017,1154,124
5156900,10923,222,29.6.2017,31.10.2017,222,124
5156900,10924,117,29.6.2017,31.10.2017,117,124
5156900,10950,840,29.6.2017,31.10.2017,840,124
5156900,10953,426,29.6.2017,31.10.2017,426,124
5156900,10956,3455,29.6.2017,31.10.2017,3455,124
5156900,10969,685,29.6.2017,31.10.2017,685,124
5156900,11001,45,29.6.2017,31.10.2017,45,124
 5156900,10432,-202.38,30.7.2017
 5156900,56083,99,29.6.2017
 5156900,11085,9961,30.7.2017
 5156900,11109,2644,30.7.2017
 5156900,11110,5800,30.7.2017
 5156900,11201,215,30.7.2017
 5156900,56137,14682,30.7.2017
 5156900,103539,-1500,30.10.2017
5156900,56197,319,29.8.2017,31.10.2017,319,63
 5156900,56296,13396,29.9.2017
 5156900,56386,35458,30.10.2017
 5156900,56351,10728,30.10.2017
5156900,56413,1253,15.10.2017,31.10.2017,1253,16
5156900,11281,672,30.7.2017,31.10.2017,672,93
 5156900,10602,-173,30.7.2017
 5156900,56338,12996,30.10.2017
 5156900,11717,9914,29.11.2017
 5156900,11026,-1500,29.11.2017
 5156900,11607,6477,15.10.2017
 5156900,56298,475,29.9.2017
5156900,56274,14561,29.9.2017,31.10.2017,14561,32
 5156900,56364,16214,30.10.2017
 5156900,55958,26730,29.4.2017
 5156900,56009,29479,30.5.2017
 5156900,103361,-176,29.6.2017
 5156900,103381,-1860,29.6.2017
 5156900,56077,2978,29.6.2017
 5156900,11160,700,30.7.2017
 5156900,56133,100,30.7.2017
 5156900,11657,6485,29.11.2017
5156900,56145,37492,28.9.2017,31.10.2017,25759,33
 5156900,56190,30416,28.10.2017
 5156900,11518,2480,29.12.2017
 5156900,56271,41913,28.11.2017
 5156900,56361,45189,29.12.2017
5156900,56228,1332,29.8.2017,31.10.2017,1332,63
5156900,11462,2344,29.9.2017,31.10.2017,2344,32
 5156900,11465,7700,29.9.2017
 5156900,56297,883,29.9.2017
 5156900,11624,3456,30.10.2017
 5156900,11625,2135,30.10.2017
 5156900,103594,-531,29.11.2017
 5156900,56387,936,30.10.2017
 5156900,11179,1420,30.7.2017
 5156900,56278,604,29.9.2017
 5156900,56423,31,30.10.2017
 5156900,11686,4543,14.11.2017
 5156900,56081,602,29.6.2017
 5156900,56135,601,30.7.2017
 5156900,11288,295,29.8.2017
 5156900,56192,447,29.8.2017
 5156900,56259,811,29.9.2017
 5156900,56346,783,30.10.2017
5023361,13079,-421,29.8.2017,1.7.2017,-35,0
 5156900,14342,-761,30.10.2017
 5156900,56410,507,15.10.2017
 5156900,11685,98,14.11.2017
 5156900,11449,384,29.9.2017
 5156900,11450,337,29.9.2017
 5156900,11474,337,29.9.2017
 5156900,56335,2036,29.9.2017
 5156900,56397,4137,30.9.2017
 5156900,11600,20600,30.10.2017
 5156900,56412,5262,30.10.2017
5156900,11252,2059,29.8.2017,31.10.2017,2059,63
5156900,11332,1217,29.8.2017,31.10.2017,1217,63
 5156900,11523,3543,30.10.2017
 5156900,56388,356,30.10.2017
 5156900,11710,999,29.11.2017
 5156900,10522,388,29.4.2017
 5156900,103263,-5,29.4.2017
 5156900,12776,-123,29.4.2017
 5156900,12951,-117,30.5.2017
 5156900,56079,1011,29.6.2017
5156900,56191,114,29.8.2017,31.10.2017,114,63
5156900,56257,3842,29.9.2017,31.10.2017,3842,32
 5156900,56343,-151,30.10.2017
 5156900,13915,-28,30.10.2017
 5156900,11510,1285,30.10.2017
 5156900,11511,12000,30.10.2017
 5156900,11512,2468,30.10.2017
 5156900,11513,54,30.10.2017
 5156900,56304,1084,29.9.2017
 5156900,11543,2056,30.10.2017
 5156900,103602,-486,29.11.2017
 5156900,56080,398,29.6.2017
 5156900,56258,835,29.9.2017
 5156900,27929,-360,29.9.2017
 5156900,56344,1044,30.10.2017
 5156900,11632,-25.14,29.11.2017
5156900,11290,19372,29.8.2017,31.10.2017,19372,63
5156900,56203,922,29.8.2017,31.10.2017,922,63
 5156900,103509,-1151,29.9.2017
 5156900,56270,9385,29.9.2017
5156900,10900,2855,29.6.2017,31.10.2017,2469,124
5156900,11171,1104,30.7.2017,31.10.2017,1104,93
 5156900,11198,2897,30.7.2017
 5156900,11419,1512,29.9.2017
 5156900,11476,159,29.9.2017
 5156900,56286,1160,29.9.2017
 5156900,11035,-300,29.11.2017
 5156900,56308,608,29.9.2017
 5156900,11555,2340,30.10.2017
 5156900,56400,632,30.10.2017
 5156900,11013,-1000,29.11.2017
 5156900,11704,1200,29.11.2017
 5156900,10912,4861,14.6.2017
5156900,10898,5987,29.6.2017,28.9.2017,2338,91
 5156900,10998,234,29.6.2017
 5156900,11046,977,30.7.2017
5156900,56151,1297,30.7.2017,31.10.2017,1297,93
5156900,11279,1247,29.8.2017,31.10.2017,1247,63
5156900,11338,64,29.8.2017,31.10.2017,64,63
5156900,56214,1020,29.8.2017,31.10.2017,1020,63
5156900,11402,1432,29.9.2017,31.10.2017,1432,32
5156900,11411,129,29.9.2017,31.10.2017,129,32
 5156900,56185,1021,30.6.2017
 5156900,11398,930,30.8.2017
 5156900,11615,2254,30.9.2017
 5156900,56303,1943,29.9.2017
 5156900,56395,328,30.10.2017
 5156900,103598,-532,29.11.2017
5156900,11235,281,29.8.2017,31.10.2017,281,63
5156900,11321,7469,29.8.2017,31.10.2017,7469,63
5156900,56233,295,29.8.2017,31.10.2017,295,63
 5156900,56402,476,29.11.2017
 5156900,11725,12,29.12.2017
 5156900,11530,64406,30.10.2017
 5156900,11619,21060,30.10.2017
 5156900,11621,6772,30.10.2017
 5156900,11136,257,15.7.2017
 5156900,56170,773,15.7.2017
 5156900,56239,181,14.8.2017
 5156900,103504,-478,29.9.2017
 5156900,56381,2577,30.10.2017
5156900,11418,767,14.9.2017,31.10.2017,767,47
5156900,11323,508,14.8.2017,31.10.2017,508,78
5156900,11540,135,15.10.2017,31.10.2017,135,16
 5156900,11602,503,15.10.2017
5156900,56223,4748,29.8.2017,31.10.2017,4748,63
 5156900,56390,2784,30.10.2017
5156900,11415,830,29.9.2017,31.10.2017,129,32
 5156900,56405,66,30.10.2017
 5156900,11642,161,29.11.2017
5156900,56299,370,29.9.2017,31.10.2017,370,32
5156900,11209,2743,15.7.2017,31.10.2017,700,108
5156900,11210,48,15.7.2017,31.10.2017,48,108
5156900,56207,328,14.8.2017,31.10.2017,328,78
 5156900,10939,-912,14.11.2017
5156900,56182,1112,30.7.2017,31.10.2017,1112,93
 5156900,11250,750,28.9.2017
 5156900,11251,12,28.9.2017
 5156900,11317,674,28.9.2017
 5156900,56276,386,29.10.2017
 5156900,11475,767,14.9.2017
 5156900,11491,374,14.9.2017
 5156900,11507,260,15.10.2017
 5156900,103540,-100,15.10.2017
5156900,11239,856,28.9.2017,31.10.2017,856,33
5156900,11308,1516,28.9.2017,31.10.2017,1516,33
 5156900,56320,100,29.10.2017
 5156900,11569,173,29.11.2017
5156900,56106,166,29.7.2017,31.10.2017,166,94
 5156900,56291,422,29.10.2017
 5156900,11528,82,29.11.2017
 5156900,11590,102,29.11.2017
5156900,10894,-1,29.11.2017,20.7.2017,1818,0
5156900,11479,1633,29.9.2017,31.10.2017,1633,32
 5156900,56302,585,29.9.2017
 5156900,11533,8000,30.10.2017
 5156900,56401,1078,30.10.2017
 5156900,11676,4500,29.11.2017
 5156900,11727,3417,29.11.2017
 5156900,11257,1500,29.8.2017
 5156900,56216,228,29.8.2017
 5156900,56282,1891,29.9.2017
 5156900,56372,251,30.10.2017
 5156900,56391,5777,30.10.2017
 5156900,103627,-277,29.11.2017
 5156900,11042,299,30.7.2017
5156900,10664,176,30.5.2017,31.10.2017,176,154
 5156900,103611,-899,29.11.2017
 5156900,11695,176,29.11.2017
5156900,56211,172,29.8.2017,31.10.2017,172,63
5156900,56279,2176,29.9.2017,31.10.2017,2176,32
 5156900,10826,-2044,30.10.2017
 5156900,56369,3101,30.10.2017
 5156900,103608,-3101,29.11.2017
 5156900,56290,8422,29.9.2017
 5156900,10865,-3000,30.10.2017
 5156900,10961,-5000,29.11.2017
